date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:16	228901/228901	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2017:31:05%20GMT	https://ibid.modeltheme.com/automotive/	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/index.html	(from )
22:56:17	70/70	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Nov%202019%2017:26:13%20GMT	https://ibid.modeltheme.com/robots.txt		(from )
22:56:18	586/586	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202019%2010:20:47%20GMT	https://ibid.modeltheme.com/automotive/wp-content/uploads/2019/08/favicon-ibid.png	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/wp-content/uploads/2019/08/favicon-ibid.png	(from https://ibid.modeltheme.com/automotive/)
22:56:20	583604/583604	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2009:22:47%20GMT	http://ibid.modeltheme.com/automotive/wp-content/cache/wpfc-minified/7wvfqhhm/3txu7.css	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/wp-content/cache/wpfc-minified/7wvfqhhm/3txu7.css	(from https://ibid.modeltheme.com/automotive/)
22:56:22	6445/6445	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Nov%202019%2017:26:18%20GMT	https://ibid.modeltheme.com/automotive/comments/feed/	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/comments/feed/index.html	(from https://ibid.modeltheme.com/automotive/)
22:56:22	96843/96843	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2010:18:09%20GMT	http://ibid.modeltheme.com/automotive/wp-content/cache/wpfc-minified/fty71tgc/3ukeh.css	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/wp-content/cache/wpfc-minified/fty71tgc/3ukeh.css	(from https://ibid.modeltheme.com/automotive/)
22:56:22	110716/110716	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202019%2011:03:58%20GMT	https://ibid.modeltheme.com/automotive/wp-content/uploads/2019/10/ibid_automotive_slider.jpg?id=5729	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/wp-content/uploads/2019/10/ibid_automotive_slider2a8c.jpg	(from https://ibid.modeltheme.com/automotive/)
22:56:22	19367/19367	---MCZ	200	added ('OK')	text/xml	date:Fri,%2015%20Nov%202019%2017:26:17%20GMT	https://ibid.modeltheme.com/automotive/feed/	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/feed/index.html	(from https://ibid.modeltheme.com/automotive/)
22:56:23	6560/6560	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jun%202019%2010:09:32%20GMT	http://modeltheme.com/json/modelthemes-frontend-bar.css?ver=5.2.4	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/modeltheme.com/json/modelthemes-frontend-bar4d2c.css	(from https://ibid.modeltheme.com/automotive/)
22:56:23	52654/52654	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2009:22:45%20GMT	http://ibid.modeltheme.com/automotive/wp-content/cache/wpfc-minified/21lodjut/3txu5.css	C:/My%20Web%20Sites/car-auction_template/Car%20Auction/ibid.modeltheme.com/automotive/wp-content/cache/wpfc-minified/21lodjut/3txu5.css	(from https://ibid.modeltheme.com/automotive/)
